location,cases,density_per_km
Colombia-Boyaca-Covarachia,0,24.32673836
Colombia-Boyaca-Cubara,245,6.406479836
Colombia-Boyaca-Cucaita,0,118.8373337
Colombia-Boyaca-Cuitiva,0,60.27125931
Colombia-Boyaca-Duitama,52,484.5221863
Colombia-Boyaca-El_Cocuy,0,19.45735741
Colombia-Boyaca-El_Espino,0,12.67483711
Colombia-Boyaca-Firavitoba,0,58.94674301
Colombia-Boyaca-Floresta,0,54.96701813
Colombia-Boyaca-Gachantiva,0,30.24248886
Colombia-Boyaca-Gameza,0,41.10844421
Colombia-Boyaca-Garagoa,52,100.319931
Colombia-Boyaca-Gsican,0,70.99121857
Colombia-Boyaca-Guacamayas,0,26.62042427
Colombia-Boyaca-Guateque,26,288.4057312
Colombia-Boyaca-Guayata,0,30.69260979
Colombia-Boyaca-Guican,0,7.331421852
Colombia-Boyaca-Iza,0,79.2066803
Colombia-Boyaca-Jenesano,0,118.2909317
Colombia-Boyaca-Jerico,0,87.27893066
Colombia-Boyaca-La_Capilla,0,41.17617416
Colombia-Boyaca-La_Uvita,21,15.80078506
Colombia-Boyaca-La_Victoria,0,96.7806778
Colombia-Boyaca-Labranzagrande,160,8.799446106
Colombia-Boyaca-Macanal,59,28.25464249
Colombia-Boyaca-Maripi,47,46.40650177
Colombia-Boyaca-Miraflores,82,1.292675257
Colombia-Boyaca-Mongua,0,17.50701141
Colombia-Boyaca-Mongui,0,85.90075684
Colombia-Boyaca-Moniquira,366,112.967392
Colombia-Boyaca-Motavita,0,207.8878326
Colombia-Boyaca-Muzo,3321,57.50408173
Colombia-Boyaca-Nobsa,0,406.2156982
Colombia-Boyaca-Nuevo_Colon,1,149.1388245
Colombia-Boyaca-Oicata,0,57.07761002
Colombia-Boyaca-Otanche,83,23.76916885
Colombia-Boyaca-Pachavita,0,31.73963356
Colombia-Boyaca-Paez,44,21.04546356
Colombia-Boyaca-Paipa,0,116.1709137
Colombia-Boyaca-Pajarito,1419,3.650794983
Colombia-Boyaca-Panqueba,0,32.06928253
Colombia-Boyaca-Pauna,38,48.82359314
Colombia-Boyaca-Paya,1,6.490078926
Colombia-Boyaca-Paz_De_Rio,0,36.14471054
Colombia-Boyaca-Pesca,0,22.9584446
Colombia-Boyaca-Pisba,0,2.541586399
Colombia-Boyaca-Puerto_Boyaca,1414,66.12685394
Colombia-Boyaca-Quipama,109,37.67036438
Colombia-Boyaca-Ramiriqui,0,78.87463379
Colombia-Boyaca-Raquira,0,74.86212158
Colombia-Boyaca-Rondon,0,18.12836838
Colombia-Boyaca-Saboya,1,54.05162811
Colombia-Boyaca-Sachica,12,61.02427292
Colombia-Boyaca-Samaca,0,159.0076294
Colombia-Boyaca-San_Eduardo,0,16.46194458
Colombia-Boyaca-San_Jose_De_Pare,171,77.82357788
Colombia-Boyaca-San_Luis_De_Gaceno,617,11.15857887
Colombia-Boyaca-San_Mateo,0,22.39105988
Colombia-Boyaca-San_Miguel_De_Sema,0,51.11933899
Colombia-Boyaca-San_Pablo_De_Borbur,72,60.62064743
Colombia-Boyaca-Santa_Maria,177,282.2861328
Colombia-Boyaca-Santa_Rosa_De_Viterbo,5,118.84729
Colombia-Boyaca-Santa_Sofia,0,32.03833771
Colombia-Boyaca-Santana,371,117.3067474
Colombia-Boyaca-Sativanorte,0,12.1821804
Colombia-Boyaca-Sativasur,0,15.27740002
Colombia-Boyaca-Siachoque,0,68.74376678
Colombia-Boyaca-Soata,527,33.78831482
Colombia-Boyaca-Socha,0,46.37722015
Colombia-Boyaca-Socota,32,18.36050034
Colombia-Boyaca-Sogamoso,57,603.1657715
Colombia-Boyaca-Somondoco,0,58.16371536
Colombia-Boyaca-Sora,0,71.9850235
Colombia-Boyaca-Soraca,0,98.43385315
Colombia-Boyaca-Sotaquira,0,27.18043137
Colombia-Boyaca-Susacon,0,14.42935658
Colombia-Boyaca-Sutamarchan,25,64.00726318
Colombia-Boyaca-Sutatenza,41,147.8158112
Colombia-Boyaca-Tasco,0,29.06585693
Colombia-Boyaca-Tenza,0,90.5286026
Colombia-Boyaca-Tibana,121,80.0247879
Colombia-Boyaca-Tibasosa,20,196.2944641
Colombia-Boyaca-Tinjaca,0,37.92867279
Colombia-Boyaca-Tipacoque,67,45.95571899
Colombia-Boyaca-Toca,0,66.76347351
Colombia-Boyaca-Togsi,2,70.99121857
Colombia-Boyaca-Togui,17,126.3458252
Colombia-Boyaca-Topaga,0,124.1081009
Colombia-Boyaca-Tota,0,34.58177185
Colombia-Boyaca-Tunja,273,2004.090332
Colombia-Boyaca-Tunungua,26,62.96299744
Colombia-Boyaca-Turmeque,0,60.88636017
Colombia-Boyaca-Tuta,0,68.87884521
Colombia-Boyaca-Tutaza,0,15.60429764
Colombia-Boyaca-Umbita,2,78.76686096
Colombia-Boyaca-Unknown,236,70.99121857
Colombia-Boyaca-Ventaquemada,0,126.3458099
Colombia-Boyaca-Villa_De_Leyva,0,183.6412048
Colombia-Boyaca-Viracacha,0,52.383461
Colombia-Boyaca-Zetaquira,35,18.26670647
Colombia-Buenaventura,969,83.8129425
Colombia-Caldas,2892,8.757612228
Colombia-Caldas-Aguadas,69,26.56201553
Colombia-Caldas-Anserma,409,143.8056335
Colombia-Caldas-Aranzazu,9,68.08667755
Colombia-Caldas-Belalcazar,1,94.54801941
Colombia-Caldas-Chinchina,487,452.1224976
Colombia-Caldas-Filadelfia,90,57.02490234
Colombia-Caldas-La_Dorada,1382,135.5492249
Colombia-Caldas-La_Merced,1,44.36196136
Colombia-Caldas-Manizales,475,1017.676025
Colombia-Caldas-Manzanares,238,102.7428589
Colombia-Caldas-Marmato,1159,277.9145508
Colombia-Caldas-Marquetalia,724,187.7784729
Colombia-Caldas-Marulanda,0,8.757612228
Colombia-Caldas-Neira,40,94.10636902
Colombia-Caldas-Norcasia,137,30.16718483
Colombia-Caldas-Pacora,22,46.09114838
Colombia-Caldas-Palestina,750,128.7085571
Colombia-Caldas-Pensilvania,262,58.244133
Colombia-Caldas-Riosucio,116,192.2635803
Colombia-Caldas-Risaralda,133,20.68351746
Colombia-Caldas-Salamina,4,42.82763672
Colombia-Caldas-Samana,176,33.7766037
Colombia-Caldas-San_Jose,40,116.9310455
Colombia-Caldas-Supia,111,253.678894
Colombia-Caldas-Unknown,191,70.99121857
Colombia-Caldas-Victoria,674,21.41326141
Colombia-Caldas-Villamaria,83,529.5039063
Colombia-Caldas-Viterbo,1685,94.98730469
Colombia-Caqueta,14602,6.850230217
Colombia-Caqueta-Albania,143,65.84765625
Colombia-Caqueta-Belen_De_Los_Andaquies,903,12.22637177
Colombia-Caqueta-Cartagena_Del_Chaira,422,3.197857857
Colombia-Caqueta-Curillo,107,22.50766754
Colombia-Caqueta-El_Doncello,2498,25.29156303
Colombia-Caqueta-El_Paujil,1981,22.04711723
Colombia-Caqueta-Florencia,22217,91.65093994
Colombia-Caqueta-La_Montanita,1107,16.70871735
Colombia-Caqueta-Milan,153,85.94415283
Colombia-Caqueta-Morelia,428,18.98479462
Colombia-Caqueta-Puerto_Rico,772,10.08099365
Colombia-Caqueta-San_Jose_Del_Fragua,2820,13.08318329
Colombia-Caqueta-San_Vicente_Del_Caguan,3167,6.850230217
Colombia-Caqueta-Solano,216,12.64424706
Colombia-Caqueta-Solita,349,12.51083755
Colombia-Caqueta-Unknown,338,70.99121857
Colombia-Caqueta-Valparaiso,144,69.23680878
Colombia-Cartagena,4078,2154.119873
Colombia-Cartagena-Cartagena,39729,2154.119873
Colombia-Casanare,17679,3.654495716
Colombia-Casanare-Aguazul,9615,53.11862183
Colombia-Casanare-Chameza,193,27.26580429
Colombia-Casanare-Hato_Corozal,240,3.825238228
Colombia-Casanare-La_Salina,1,9.401380539
Colombia-Casanare-Mani,485,4.093299389
Colombia-Casanare-Monterrey,6605,34.61785126
Colombia-Casanare-Nunchia,985,9.349117279
Colombia-Casanare-Orocue,672,2.974320412
Colombia-Casanare-Paz_De_Ariporo,4177,3.654496193
Colombia-Casanare-Pore,1310,13.11792564
Colombia-Casanare-Recetor,18,695.0650024
Colombia-Casanare-Sabanalarga,864,43.34637451
Colombia-Casanare-Sacama,25,2.993665218
Colombia-Casanare-San_Luis_De_Palenque,2537,29.86107635
Colombia-Casanare-Tamara,192,8.0487957
Colombia-Casanare-Tauramena,8973,24.41075516
Colombia-Casanare-Trinidad,1910,21.21709442
Colombia-Casanare-Unknown,537,70.99121857
Colombia-Casanare-Villanueva,9342,112.987854
Colombia-Casanare-Yopal,53272,127.0841064
Colombia-Cauca,3678,89.85438538
Colombia-Cauca-Almaguer,42,112.5740509
Colombia-Cauca-Argelia,47,57.340168
Colombia-Cauca-Balboa,38,81.27748108
Colombia-Cauca-Bolivar,15,31.51944923
Colombia-Cauca-Buenos_Aires,119,255.8773804
Colombia-Cauca-Cajibio,52,89.85438538
Colombia-Cauca-Caldono,23,120.2320862
Colombia-Cauca-Caloto,282,120.1990128
Colombia-Cauca-Corinto,259,138.3063049
Colombia-Cauca-El_Tambo,63,20.99265671
Colombia-Cauca-Florencia,25,91.65093994
Colombia-Cauca-Guachene,16,120.199028
Colombia-Cauca-Guapi,58,14.48738098
Colombia-Cauca-Inza,39,46.18056488
Colombia-Cauca-Jambalo,144,109.1603699
Colombia-Cauca-La_Sierra,37,54.94586182
Colombia-Cauca-La_Vega,109,107.9097748
Colombia-Cauca-Lopez,0,6.63809967
Colombia-Cauca-Mercaderes,89,30.155159
Colombia-Cauca-Miranda,601,343.6918335
Colombia-Cauca-Morales,8,61.24256134
Colombia-Cauca-Padilla,156,169.2496033
Colombia-Cauca-Paez,332,21.04546356
Colombia-Cauca-Patia,144,60.8560524
Colombia-Cauca-Piamonte,37,9.376367569
Colombia-Cauca-Piendamo,37,20.99265671
Colombia-Cauca-Popayan,1196,794.1865234
Colombia-Cauca-Puerto_Tejada,1616,446.1581116
Colombia-Cauca-Purace,0,40.30512619
Colombia-Cauca-Rosas,0,104.8489075
Colombia-Cauca-San_Sebastian,0,50.15069962
Colombia-Cauca-Santa_Rosa,0,158.7386932
Colombia-Cauca-Santander_De_Quilichao,2100,227.6657715
Colombia-Cauca-Silvia,0,53.36811066
Colombia-Cauca-Sotara,0,50.68713379
Colombia-Cauca-Suarez,79,31.04425049
Colombia-Cauca-Sucre,122,27.96168137
Colombia-Cauca-Timbio,32,211.1822205
Colombia-Cauca-Timbiqui,0,9.140382767
Colombia-Cauca-Toribio,126,79.82061768
Colombia-Cauca-Totoro,0,59.67414856
Colombia-Cauca-Unknown,106,70.99121857
Colombia-Cauca-Villa_Rica,171,20.99265671
Colombia-Cesar,21430,19.06855392
Colombia-Cesar-Aguachica,10895,132.720459
Colombia-Cesar-Agustin_Codazzi,446,31.47406387
Colombia-Cesar-Astrea,522,30.89093971
Colombia-Cesar-Becerril,994,12.09970665
Colombia-Cesar-Bosconia,941,79.32781982
Colombia-Cesar-Chimichagua,44,28.66949844
Colombia-Cesar-Chiriguana,600,19.06855392
Colombia-Cesar-Curumani,1687,28.60919571
Colombia-Cesar-El_Copey,1495,28.88634872
Colombia-Cesar-El_Paso,307,30.68399811
Colombia-Cesar-Gamarra,217,58.70481873
Colombia-Cesar-Gonzalez,128,63.42012024
Colombia-Cesar-La_Gloria,418,17.94023132
Colombia-Cesar-La_Jagua_De_Ibirico,539,29.26427269
